Control Domain,Security Control ,Security Control Description,ARMory ID ,ARMory BPA Rule Description ,Checkov ID,Checkov Description
Network Security ,NS-1 ,Implement security for internal traffic,Kubernetes_Must_Restrict_Network_Access,Authorized IP ranges should be defined on Kubernetes Services,"CKV_AZURE_7,
CKV_AZURE_9,
CKV_AZURE_10,
CKV_AZURE_11,
CKV_AZURE_35,
CKV_AZURE_6,
CKV_AZURE_36,","Ensure AKS cluster has Network Policy configured,
Ensure that RDP access is restricted from the internet,
Ensure that SSH access is restricted from the internet,
Ensure no SQL Databases allow ingress from 0.0.0.0/0 (ANY IP),
Ensure default network access rule for Storage Accounts is set to deny,
Ensure AKS has an API Server Authorized IP Ranges enabled,
Ensure ‘Trusted Microsoft Services’ is enabled for Storage Account access"
Network Security ,NS-2,Connect private networks together,,,,
Network Security ,NS-3,Establish private network access to Azure services,,,,
Network Security ,NS-4,Protect applications and services from external network attacks,Kubernetes_Must_Restrict_Network_Access,Authorized IP ranges should be defined on Kubernetes Services,"CKV_AZURE_6, 
CKV_AZURE_32","Ensure AKS has an API Server Authorized IP Ranges enabled,
Ensure server parameter ‘connection_throttling’ is set to ‘ON’ for PostgreSQL Database Server"
Network Security ,NS-5,Deploy intrusion detection/intrusion prevention systems (IDS/IPS),,,,
Network Security ,NS-6,Simplify network security rules,,,CKV_AZURE_36,Ensure ‘Trusted Microsoft Services’ is enabled for Storage Account access
Network Security ,NS-7,Secure Domain Name Service (DNS),,,,
Identity Management ,IM-1,Standardize Azure Active Directory as the central identity and authentication system,"ServiceFabric_Client_AAD_Auth_Only,
AppServiceApiApp_UseManagedIdentity,
AppServiceFunctionApp_UseManagedIdentity,
AppServiceWebApp_UseManagedIdentity,","Service Fabric clusters should only use Azure Active Directory for client authentication, 
Managed identity should be used in your API App,
Managed identity should be used in your Function App,
Managed identity should be used in your Web App",CKV_AZURE_13,Ensure App Service Authentication is set on Azure App Service
Identity Management ,IM-2,Manage application identities securely and automatically,"AppServiceApiApp_UseManagedIdentity,
AppServiceFunctionApp_UseManagedIdentity,
AppServiceWebApp_UseManagedIdentity,","Managed identity should be used in your API App,
Managed identity should be used in your Function App,
Managed identity should be used in your Web App",CKV_AZURE_16,Ensure that Register with Azure Active Directory is enabled on App Service
Identity Management ,IM-3,Use Azure AD single sign-on (SSO) for application access,,,,
